concepto,frecuencia,año
chile,58,2000
país,29,2000
mundo,26,2000
gobierno,26,2000
siglo,21,2000
reforma,19,2000
política,19,2000
reformas,18,2000
quiero,17,2000
estado,16,2000
desarrollo,15,2000
nación,15,2000
internet,15,2000
futuro,14,2000
chilenos,13,2000
cultura,13,2000
sociedad,13,2000
esfuerzo,13,2000
defensa,13,2000
desafío,12,2000
chile,47,2001
chilenos,26,2001
mundo,26,2001
salud,21,2001
sistema,20,2001
reforma,19,2001
país,19,2001
ciento,17,2001
millones,16,2001
gobierno,16,2001
personas,15,2001
ley,15,2001
proyecto,14,2001
economía,14,2001
becas,13,2001
atención,13,2001
estado,13,2001
público,13,2001
nacional,12,2001
educación,12,2001
chile,89,2002
país,61,2002
salud,33,2002
millones,30,2002
educación,24,2002
chilenos,23,2002
gobierno,23,2002
reforma,22,2002
aquí,21,2002
jóvenes,21,2002
mundo,19,2002
aquellos,17,2002
atención,17,2002
nacional,17,2002
recursos,16,2002
crecimiento,16,2002
programa,16,2002
tiempo,16,2002
chile,93,2003
país,42,2003
mundo,29,2003
ley,26,2003
educación,22,2003
jóvenes,21,2003
familias,20,2003
chilenos,20,2003
nacional,19,2003
programa,17,2003
calidad,17,2003
aquí,17,2003
trabajo,15,2003
millones,14,2003
gobierno,14,2003
vida,14,2003
condiciones,13,2003
crecimiento,13,2003
esfuerzo,13,2003
superior,12,2003
chile,91,2004
país,40,2004
ciento,36,2004
ley,29,2004
millones,28,2004
desarrollo,21,2004
nacional,20,2004
chilenos,19,2004
programa,17,2004
mundo,17,2004
sector,15,2004
esfuerzo,15,2004
crecimiento,14,2004
social,14,2004
aquí,14,2004
reforma,14,2004
recursos,13,2004
personas,13,2004
chile,69,2005
país,29,2005
educación,23,2005
millones,21,2005
chilenos,21,2005
mundo,20,2005
progreso,19,2005
infraestructura,19,2005
nacional,19,2005
chilenas,18,2005
reforma,17,2005
justicia,16,2005
crecimiento,15,2005
presidente,15,2005
salud,14,2005
futuro,14,2005
desarrollo,14,2005
países,13,2005
